"filename", "language", "Markdown", "CMake", "JSON", "C++", "comment", "blank", "total"
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\application.cpp", "C++", 0, 0, 0, 138, 39, 38, 215
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\application.mpp", "C++", 0, 0, 0, 34, 10, 8, 52
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\cli.hpp", "C++", 0, 0, 0, 26, 9, 10, 45
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\cli.mpp", "C++", 0, 0, 0, 7, 4, 5, 16
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\errors.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\errors.mpp", "C++", 0, 0, 0, 15, 5, 11, 31
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\errors.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\utils.cpp", "C++", 0, 0, 0, 43, 37, 18, 98
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\utils.mpp", "C++", 0, 0, 0, 18, 6, 8, 32
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\warnings.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\warnings.mpp", "C++", 0, 0, 0, 19, 5, 11, 35
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\warnings.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\CMakeLists.txt", "CMake", 0, 49, 0, 0, 2, 5, 56
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\config.hpp", "C++", 0, 0, 0, 33, 7, 9, 49
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\config.mpp", "C++", 0, 0, 0, 10, 4, 4, 18
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\errors.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\errors.mpp", "C++", 0, 0, 0, 23, 5, 11, 39
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\errors.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\file.cpp", "C++", 0, 0, 0, 102, 73, 42, 217
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\file.mpp", "C++", 0, 0, 0, 23, 12, 8, 43
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\options.mpp", "C++", 0, 0, 0, 7, 4, 7, 18
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\schema.mpp", "C++", 0, 0, 0, 15, 10, 8, 33
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\settings.cpp", "C++", 0, 0, 0, 64, 32, 25, 121
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\settings.mpp", "C++", 0, 0, 0, 18, 11, 7, 36
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\tests\file.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\utils.cpp", "C++", 0, 0, 0, 39, 21, 16, 76
"c:\Users\blake\Programing\Personal Projects\Docme\docme\config\utils.mpp", "C++", 0, 0, 0, 13, 6, 8, 27
